"","lake_ID","age_sky","percC","percN","CN","del13C","del15N","fuco","oscil","aphan","diadino","myxo","allo","diato","lutein","cantha","b_car","chl_ap","echine","pheo_a","phaeo_b","chla_pheoa","chlb_pheob","PI","UVR_index","all_chl","all_diat","AD_ratio","master_chl","perc_chlb","perc_diatox","del15N_zscore"
"43","SkyPond",1969.54237288136,3.36,0.38,10.43,-26.3,2.5,129.2342046,0,0,84.74417235,0,86.1935908,178.879362,362.5796732,42.93366292,166.8994082,149.095422,20.18869106,846.721324,916.1381124,1573.8670492,983.01684197,0.858778094503263,0.00249759790059414,1722.9624712,263.62353435,0.48185318773666,0.415294561627083,1.0819830402665,0.113655954669694,-0.985297428309835
"44","SkyPond",1972.93220338983,3.2,0.34,11.13,-26.6,1.9,155.9597429,0,0,108.3305778,0,127.0793756,211.0691209,332.332151,49.29227163,241.5549461,160.756608,21.76770722,965.8404789,1044.933694,1828.1912906,1119.04306144,0.892850145069645,0.0173844403316652,1988.9478986,319.3996987,0.602074690310609,0.431244257450442,1.08189055732069,0.115452426660849,-1.44767164047758
"45","SkyPond",1976.32203389831,3.28,0.35,10.82,-26.7,2,185.725656,0,0,57.67086726,0,74.53427954,191.059796,360.6467102,41.0116876,242.4506565,204.6085269,17.44426757,967.8074697,926.9880217,1949.503908,1003.96445255,1.01435096239163,0.00807378869139831,2154.1124349,248.73066326,0.390109699164548,0.504273050790512,0.957822759920779,0.0980043154650604,-1.37060927178295
"46","SkyPond",1979.71186440678,3.24,0.36,10.59,-26.4,1.9,249.7290395,0,0,80.07973664,0,113.5216996,234.6917364,389.396245,55.60172142,229.7345093,242.579004,20.68150881,1064.108921,943.9146581,2201.524775,1031.0072844,1.06889044115062,0,2444.103779,314.77147304,0.483705567743202,0.544080278541826,0.887047030122586,0.106604176825582,-1.44767164047758
"47","SkyPond",1983.10169491525,3.25,0.36,10.64,-26.7,1.5,230.430105,0,0,70.82935778,0,106.5111802,216.9000453,357.7580842,48.24912264,241.0534506,211.765264,18.05442805,1059.85318,1000.33572,2189.165701,1083.05775987,1.06553675764788,0,2400.930965,287.72940308,0.491061124734583,0.533476678392179,0.943843674649351,0.0990788615046002,-1.75592111525607
"48","SkyPond",1986.49152542373,3.36,0.37,10.47,-26.7,2.3,276.7897929,0,0,66.33996017,0,121.3689838,196.5887836,352.6440844,51.10597513,243.9540687,231.4281851,19.73082572,1062.755656,992.6451947,2187.774726,1106.9231856,1.05858676323996,0,2419.2029111,262.92874377,0.617374916195371,0.541928164064288,0.934029557119572,0.0898578730541565,-1.13942216569908
"49","SkyPond",1989.8813559322,3.69,0.4,10.66,-26.9,2.3,323.0900213,0,0,70.82215409,0,106.6232912,179.3102399,365.1359024,47.88609113,222.3068874,204.2002217,17.40945678,1099.522292,899.76146,2194.949518,966.79389791,0.996275595292796,0,2399.1497397,250.13239399,0.594630241192377,0.527555306861636,0.818320343795267,0.0816921931140286,-1.13942216569908
"50","SkyPond",1993.27118644068,3.11,0.35,10.27,-26.7,2,390.5303348,0,0,71.42735751,0,149.9168583,226.5740399,422.19833,67.528637,224.5937415,226.4444815,19.30593111,1210.921541,1087.084129,2589.859506,1170.5208307,1.13875087552018,0,2816.3039875,298.00139741,0.661668293358616,0.579284429851417,0.897732918436869,0.0874850698947528,-1.37060927178295
"51","SkyPond",1996.66101694915,3.46,0.39,10.34,-26.7,2.2,353.901483,0,0,70.74105113,0,83.86859957,190.690789,429.3153746,56.92828896,228.3120235,248.2934669,21.16870562,1425.698513,1052.212541,2741.899787,1141.37996535,0.923197479690434,0,2990.1932539,261.43184013,0.439814633993674,0.515503766344737,0.738032993234945,0.0695469578808498,-1.21648453439371
"52","SkyPond",2000.05084745763,4.15,0.44,10.95,-27.3,2.3,371.802906,0,0,58.61282711,0,126.1476924,150.847079,305.085221,52.19521804,165.9324153,168.4998559,14.36575795,1037.909143,907.1407438,2075.131535,985.35674965,0.999338332257084,0,2243.6313909,209.45990611,0.836262082343669,0.527755924223037,0.874007855040159,0.0726927794483158,-1.13942216569908
