lake_ID,age_sky,percC,percN,CN,del13C,del15N,fuco,oscil,aphan,diadino,myxo,allo,diato,lutein,cantha,b_car,chl_ap,echine,pheo_a,phaeo_b,chla_pheoa,chlb_pheob,PI,UVR_index,all_chl,all_diat,AD_ratio,master_chl,perc_chlb,perc_diatox,del15N_zscore
TheLoch,1918.542373,6.85,0.48,16.52,-23.59,4.39,6.5,0,0,3.9,16.3,38.3,784.4,284.2,19.6,413.8,83.2,36.1,405.8,239.4,566.8,400.4,0.396747166,0,650,788.3,0.048827129,0.2210324,0.589945786,1.383909668,1.260184295
TheLoch,1927.016949,7.57,0.54,16.3,-23.51,4.23,7.9,0,0,4.6,14.1,32.7,690.3,254.5,16,331.2,72.1,26,365.7,180.8,510.5,325.6,0.395952967,0,582.6,694.9,0.047370708,0.234076948,0.494394312,1.352203722,0.9618304
TheLoch,1943.966102,7.55,0.52,16.87,-23.77,4.05,7.2,0,1.3,5.5,18.4,34.6,635.9,248.9,17.9,237.9,71.7,22.6,384.7,226.8,538.2,380.3,0.399012217,0,609.9,641.4,0.054411071,0.224677986,0.589550299,1.181531029,0.626182268
TheLoch,1948.20339,7.69,0.54,16.59,-23.82,3.93,23.5,0,3,6.6,16.8,32.2,620.9,260.7,17.9,343.2,77.9,29.7,444.5,223.1,624.5,403.1,0.404949381,0,702.4,627.5,0.051860203,0.241448692,0.501912261,0.994235388,0.402416846
TheLoch,1952.440678,7.9,0.56,16.52,-23.73,3.87,21.4,0,2.8,10.7,17,32.6,601.4,258,17.8,357,75.8,32.4,440.8,193,616.2,368.4,0.397912886,0,692,612.1,0.054206851,0.247181511,0.43784029,0.975981824,0.290534136
TheLoch,1956.677966,7.2,0.51,16.58,-23.66,3.68,41.9,0,5.7,9.9,22.3,34.4,545.4,261.1,21.4,367,85.6,26.6,514.4,261,764.4,511,0.48600311,0,850,555.3,0.063072974,0.300116144,0.507387247,0.713500785,-0.063761115
TheLoch,1960.915254,7.84,0.58,15.72,-23.65,3.41,54.2,0,18.9,13.3,27,35.1,492,252.8,23.9,230,82.8,20.1,467.9,258,774.7,564.8,0.655695661,0,857.5,505.3,0.071341463,0.395078521,0.551399872,0.635084549,-0.567233313
TheLoch,1965.152542,8.38,0.56,17.34,-23.84,3.37,39.2,0,17.3,9.5,21.4,33.9,480.3,237.7,21.2,281.5,72,22.8,454.5,234.9,687.1,467.5,0.511771177,0,759.1,489.8,0.070580887,0.324665091,0.516831683,0.699024887,-0.641821786
TheLoch,1969.389831,6.81,0.54,14.71,-23.5,3.43,58.7,0,26.7,15.6,28.6,36.4,524.7,269.8,47.9,336.2,96.4,26.4,581.1,300.2,905.5,624.6,0.558251592,0,1001.9,540.3,0.069372975,0.355732842,0.516606436,0.579458863,-0.529939076
TheLoch,1973.627119,6.95,0.51,16.03,-23.78,3.5,44.2,0,49.4,12.5,26.6,36,466.7,258.2,27.7,310.2,86.4,28.2,536.5,278.4,837.8,579.7,0.561602982,0,924.2,479.2,0.077137347,0.363142128,0.518918919,0.55705419,-0.399409247
TheLoch,1977.864407,7.39,0.59,14.52,-23.47,3.26,95.1,0,42.6,15.9,38.3,45.2,517.1,333.1,35.9,307.9,118.1,42.3,764.7,417.5,1336.8,989.6,0.748136524,0,1454.9,533,0.087410559,0.465200338,0.545965738,0.38681927,-0.846940089
