"","lake_ID","age_sky","sample_start_depth","proxy_ID","response"
"202","TheLoch",1986.33898305085,1.75,"PI",0.744175044352454
"203","TheLoch",1986.33898305085,1.75,"UVR_index",0
"204","TheLoch",1986.33898305085,1.75,"all_chl",1614.4
"205","TheLoch",1986.33898305085,1.75,"all_diat",589.5
"206","TheLoch",1986.33898305085,1.75,"AD_ratio",0.087324917862701
"207","TheLoch",1986.33898305085,1.75,"master_chl",0.461453210500797
"208","TheLoch",1986.33898305085,1.75,"perc_chlb",0.542282672974571
"209","TheLoch",1986.33898305085,1.75,"perc_diatox",0.392147555435004
"210","TheLoch",1986.33898305085,1.75,"del15N_zscore",-0.828292970835697
"211","TheLoch",1982.10169491525,2,"percC",7.05
"212","TheLoch",1982.10169491525,2,"percN",0.6
"213","TheLoch",1982.10169491525,2,"CN",13.63
"214","TheLoch",1982.10169491525,2,"del13C",-23.61
"215","TheLoch",1982.10169491525,2,"del15N",3.31
"216","TheLoch",1982.10169491525,2,"fuco",112
"217","TheLoch",1982.10169491525,2,"oscil",0
"218","TheLoch",1982.10169491525,2,"aphan",40
"219","TheLoch",1982.10169491525,2,"diadino",21.7
"220","TheLoch",1982.10169491525,2,"myxo",59.9
"221","TheLoch",1982.10169491525,2,"allo",52
"222","TheLoch",1982.10169491525,2,"diato",608.7
"223","TheLoch",1982.10169491525,2,"lutein",349.2
"224","TheLoch",1982.10169491525,2,"cantha",37
"225","TheLoch",1982.10169491525,2,"b_car",320.3
"226","TheLoch",1982.10169491525,2,"chl_ap",125.5
"227","TheLoch",1982.10169491525,2,"echine",39
"228","TheLoch",1982.10169491525,2,"pheo_a",767.4
"229","TheLoch",1982.10169491525,2,"phaeo_b",451.7
"230","TheLoch",1982.10169491525,2,"chla_pheoa",1342.9
"231","TheLoch",1982.10169491525,2,"chlb_pheob",1027.2
"232","TheLoch",1982.10169491525,2,"PI",0.749934844930936
"233","TheLoch",1982.10169491525,2,"UVR_index",0
"234","TheLoch",1982.10169491525,2,"all_chl",1468.4
"235","TheLoch",1982.10169491525,2,"all_diat",630.4
"236","TheLoch",1982.10169491525,2,"AD_ratio",0.0854279612288484
"237","TheLoch",1982.10169491525,2,"master_chl",0.454261490406069
"238","TheLoch",1982.10169491525,2,"perc_chlb",0.588610893927548
"239","TheLoch",1982.10169491525,2,"perc_diatox",0.453272767890387
"240","TheLoch",1982.10169491525,2,"del15N_zscore",-0.753704497064
"241","TheLoch",1977.86440677966,2.25,"percC",7.39
"242","TheLoch",1977.86440677966,2.25,"percN",0.59
"243","TheLoch",1977.86440677966,2.25,"CN",14.52
"244","TheLoch",1977.86440677966,2.25,"del13C",-23.47
"245","TheLoch",1977.86440677966,2.25,"del15N",3.26
"246","TheLoch",1977.86440677966,2.25,"fuco",95.1
"247","TheLoch",1977.86440677966,2.25,"oscil",0
"248","TheLoch",1977.86440677966,2.25,"aphan",42.6
"249","TheLoch",1977.86440677966,2.25,"diadino",15.9
"250","TheLoch",1977.86440677966,2.25,"myxo",38.3
"251","TheLoch",1977.86440677966,2.25,"allo",45.2
"252","TheLoch",1977.86440677966,2.25,"diato",517.1
"253","TheLoch",1977.86440677966,2.25,"lutein",333.1
"254","TheLoch",1977.86440677966,2.25,"cantha",35.9
"255","TheLoch",1977.86440677966,2.25,"b_car",307.9
"256","TheLoch",1977.86440677966,2.25,"chl_ap",118.1
"257","TheLoch",1977.86440677966,2.25,"echine",42.3
"258","TheLoch",1977.86440677966,2.25,"pheo_a",764.7
"259","TheLoch",1977.86440677966,2.25,"phaeo_b",417.5
"260","TheLoch",1977.86440677966,2.25,"chla_pheoa",1336.8
"261","TheLoch",1977.86440677966,2.25,"chlb_pheob",989.6
"262","TheLoch",1977.86440677966,2.25,"PI",0.748136524127109
"263","TheLoch",1977.86440677966,2.25,"UVR_index",0
"264","TheLoch",1977.86440677966,2.25,"all_chl",1454.9
"265","TheLoch",1977.86440677966,2.25,"all_diat",533
"266","TheLoch",1977.86440677966,2.25,"AD_ratio",0.0874105588860955
"267","TheLoch",1977.86440677966,2.25,"master_chl",0.46520033838345
"268","TheLoch",1977.86440677966,2.25,"perc_chlb",0.545965738197986
"269","TheLoch",1977.86440677966,2.25,"perc_diatox",0.386819269898264
