lake_ID,age,percent_C,percent_N,CN_ratio,del13C,del15N,fucoxanthin,diadinoxanthin,myxoxanthophyll,alloxanthin,diatoxanthin,lutein,canthaxanthin,beta_carotene,echinenone,pheo_a,pheo_b,chla_pheo,chlb_pheo
SkyPond,1990,3.69,0.4,10.66,-26.9,2.3,323.0900213,70.82215409,0,106.6232912,179.3102399,365.1359024,47.88609113,222.3068874,17.40945678,1099.522292,899.76146,2194.949518,966.7938979
SkyPond,1993,3.11,0.35,10.27,-26.7,2,390.5303348,71.42735751,0,149.9168583,226.5740399,422.19833,67.528637,224.5937415,19.30593111,1210.921541,1087.084129,2589.859506,1170.520831
SkyPond,1997,3.46,0.39,10.34,-26.7,2.2,353.901483,70.74105113,0,83.86859957,190.690789,429.3153746,56.92828896,228.3120235,21.16870562,1425.698513,1052.212541,2741.899787,1141.379965
SkyPond,2000,4.15,0.44,10.95,-27.3,2.3,371.802906,58.61282711,0,126.1476924,150.847079,305.085221,52.19521804,165.9324153,14.36575795,1037.909143,907.1407438,2075.131535,985.3567497
SkyPond,2003,3.6,0.4,10.49,-27,2.3,465.4560843,107.8522,0,101.1833543,169.6286458,378.9632992,51.87997754,203.5956406,25.37507602,1237.553382,911.219922,2607.714242,1002.080875
SkyPond,2007,3.66,0.42,10.22,-26.8,1.7,520.0913369,100.259556,0,110.6410278,148.4832818,355.4970718,50.17754797,211.9838476,16.0185816,1389.21678,1058.497717,2714.058832,1150.594407
SkyPond,2010,3.79,0.45,9.78,-27.1,2.2,646.0463485,110.1784731,0,128.5840378,126.1894886,312.8619902,62.79285474,192.2570831,18.13269731,1415.717637,904.6714425,2766.927807,996.0368682
SkyPond,2014,3.74,0.45,9.8,-26.9,2.1,882.2694652,72.92984439,0,178.2149297,125.5737547,311.1724121,35.98125434,144.8389916,12.14021421,1237.688423,785.7669646,2772.13709,860.6185483
TheLoch,1673,6.91,0.48,16.64,-23.38,4.15,1.2,3.6,11.2,33.1,582.9,255.4,15.2,81.8,31.9,250.6,196.7,387.2,333.3
TheLoch,1698,7.26,0.51,16.7,-23.14,3.92,2.3,3.6,11.8,45.6,723.4,304.5,27.6,305.9,36.9,352.2,251.6,524.2,423.6
TheLoch,1724,6.63,0.48,16.21,-23.21,3.85,6.7,5.3,16.4,42.3,699.1,292,25,306,31.9,274.4,237.5,426.6,389.7
TheLoch,1741,7.58,0.53,16.67,-23.62,4.2,6,4.3,17.7,41.8,626.5,273.9,23.8,264.9,26.2,256,119.4,390.1,253.5
TheLoch,1766,7.05,0.49,16.82,-23.37,4.02,8.5,4.7,15.3,40.2,626.9,273.7,20.9,370.1,38.2,311.9,195.4,439,322.5
