"VEMAP Grid Cell row 17, col 37 (base 0) latitude 40.25 longitude -105.75 (near Loch Vale)"					
Historic	year	month	ppt(mm)	tmin	tmax
	1922.92	12	74	-13	-1.2
	1923	1	38	-12.3	-0.6
	1923.08	2	71	-18.3	-3
	1923.17	3	99	-14.1	-0.1
	1923.25	4	65	-7.5	6.7
	1923.33	5	73	-2.4	12
	1923.42	6	85	0.4	17.2
	1923.5	7	90	4.3	20
	1923.58	8	71	3.2	17.9
	1923.67	9	53	-1.1	14.8
	1923.75	10	99	-6.4	4.7
	1923.83	11	39	-11.1	3.1
	1923.92	12	58	-16.1	-2.9
	1924	1	50	-17.1	-4.7
	1924.08	2	53	-11.3	1.6
	1924.17	3	95	-15.5	-3
	1924.25	4	57	-8	7.6
	1924.33	5	82	-4.2	10.8
	1924.42	6	9	0.9	20
	1924.5	7	29	2.7	19.5
	1924.58	8	13	3.3	21.4
	1924.67	9	52	-1.5	14.3
	1924.75	10	83	-3.8	9
	1924.83	11	46	-10.7	3
	1924.92	12	77	-17.8	-5.7
	1925	1	40	-15.3	-3.3
	1925.08	2	41	-11.1	2.2
	1925.17	3	56	-10.8	5.2
	1925.25	4	32	-5.7	9.1
	1925.33	5	49	-1.9	13.3
	1925.42	6	54	1.6	16.9
	1925.5	7	68	3.7	20.3
	1925.58	8	71	3.5	18.2
	1925.67	9	60	0.5	16.2
	1925.75	10	103	-6.5	5.3
	1925.83	11	67	-11.2	1.2
	1925.92	12	79	-14.3	-2.3
	1926	1	53	-16.2	-4.2
	1926.08	2	57	-10.7	1.6
	1926.17	3	89	-12.7	1.8
	1926.25	4	120	-6.4	7.8
	1926.33	5	83	-1.9	12.3
	1926.42	6	32	1	18.2
	1926.5	7	66	2.5	18.5
	1926.58	8	52	3.4	20.8
	1926.67	9	24	-1.2	16.1
	1926.75	10	46	-4.2	10.7
	1926.83	11	65	-8.5	0.7
	1926.92	12	69	-16.1	-3.5
	1927	1	37	-13.4	-0.1
	1927.08	2	68	-12.4	-0.4
	1927.17	3	95	-12.5	1.6
	1927.25	4	100	-6.8	7.6
	1927.33	5	49	-2.9	14.2
	1927.42	6	69	1.7	16
	1927.5	7	68	2.5	19.9
	1927.58	8	68	2.6	16.8
	1927.67	9	48	-0.1	15.7
	1927.75	10	55	-5.2	10.8
	1927.83	11	82	-7.6	2.6
	1927.92	12	53	-19.2	-6.3
	1928	1	36	-11.9	-0.1
	1928.08	2	65	-15.5	-1.4
	1928.17	3	100	-9.8	3.7
	1928.25	4	55	-8.8	5.7
	1928.33	5	109	-1.3	13.2
	1928.42	6	59	-0.7	15
	1928.5	7	53	2.5	20.5
	1928.58	8	30	2.5	19.5
	1928.67	9	18	-0.5	17
	1928.75	10	58	-3.5	8.7
	1928.83	11	93	-11.1	0.4
	1928.92	12	33	-17.3	-3.6
	1929	1	44	-15.6	-4.3
