lake_ID,depth_range,depth_plot,age_jack,sample_ID,mass_HPLC,mass_CN,del15N,del13C,ugN,ugC,percN,percC,CN,fuco,sed_A,sed_B,sed_C,oscil,aphan,diadino,sudan,myxo,allo,diato,lutein,cantha,chl_b,okenone,chl_a,chl_ap,echine,phaeo_b,pheo_a,b_car,Fuco_raw,Sed_A_raw,Sed_B_raw,Sed_C_raw,Oscil_raw,Aphan_raw,Diadino_raw,Sudan_raw,Myxo_raw,Allo_raw,Diato_raw,Lutein_raw,Cantha_raw,Chl_b _raw,Okenone_raw,Chl_a _raw,Chl_ap_raw,Echine_raw,Phaeo_B_raw,Pheo_A_raw,B-car_raw
TheLoch,9.75-10.00,10,1479.3,LVDC3_040A,55.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,10.00-10.25,10.25,1465.8,LVDC3_041A,55.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,10.25-10.50,10.5,1452.2,LVDC3_042A,51.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,10.50-10.75,10.75,1438.7,LVDC3_043A,53.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,10.75-11.00,11,1425.2,LVDC3_044A,56.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,11.00-11.25,11.25,1411.71625,LVDC3_045A,53.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,11.25-11.50,11.5,1398.2055,LVDC3_046A,52.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,11.50-11.75,11.75,1384.69475,LVDC3_047A,51.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,11.75-12.00,12,1371.184,LVDC3_048A,52.55,4.95,4.19,-23.24,24.32,334.44,0.49,6.76,16.04,2.2,0,0,0,0,0,5.1,1543.4,7.9,22.8,582.4,233.9,8.4,0,0,138.6,62,17.2,190.8,388.8,366.3,0.145701684,0,0,0,0,0,0.343004126,1543.43,0.534538439,1.540528065,39.35002503,15.80081202,0.570107596,0,0,9.361894531,4.190977203,1.161251203,12.89292604,26.27134513,24.74789557
TheLoch,12.00-12.25,12.25,1357.67325,LVDC3_049A,51.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,12.25-12.50,12.5,1344.1625,LVDC3_050A,58.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,12.50-12.75,12.75,1330.65175,LVDC3_051A,52.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,12.75-13.00,13,1317.141,LVDC3_052A,52.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,13.00-13.25,13.25,1303.63025,LVDC3_053A,55.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,13.25-13.50,13.5,1290.1195,LVDC3_054A,55.9,4.98,4.4,-23.35,24.89,344.24,0.5,6.91,16.14,8.7,0,0,0,0,0,4.7,1640.5,15.2,42.7,668.3,298.3,21.8,0,0,128.1,62,40.6,172.8,332.7,391.9,0.604128331,0,0,0,0,0,0.322448423,1640.46,1.053249185,2.950050513,46.1985396,20.61769396,1.508653909,0,0,8.856555136,4.287695581,2.807022356,11.94185883,23.00097646,27.09337051
TheLoch,13.50-13.75,13.75,1276.60875,LVDC3_055A,52.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,13.75-14.00,14,1263.098,LVDC3_056A,53.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,14.00-14.25,14.25,1249.58725,LVDC3_057A,51.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,14.25-14.50,14.5,1236.0765,LVDC3_058A,50.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,14.50-14.75,14.75,1222.56575,LVDC3_059A,53.89,4.4,4.02,-23.37,21.5,310.05,0.49,7.05,16.82,8.5,0,0,0,0,0,4.7,1695.4,15.3,40.2,626.9,273.7,20.9,0,0,127.1,61.4,38.2,195.4,311.9,370.1,0.59692708,0,0,0,0,0,0.334475168,1695.43,1.074811089,2.835053634,44.17852012,19.28488957,1.471809894,0,0,8.958729551,4.323832863,2.693855513,13.77048625,21.97985825,26.07821199
TheLoch,14.75-15.00,15,1209.055,LVDC3_060A,51.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,15.00-15.25,15.25,1195.54425,LVDC3_061A,50.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,15.25-15.50,15.5,1182.0335,LVDC3_062A,58.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,15.50-15.75,15.75,1168.52275,LVDC3_063A,55.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,15.75-16.00,16,1155.012,LVDC3_064A,51.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,16.00-16.25,16.25,1141.50125,LVDC3_065A,55.46,4.11,4.2,-23.62,21.81,311.68,0.53,7.58,16.67,6,0,0,0,0,0,4.3,1715.1,17.7,41.8,626.5,273.9,23.8,0,0,134.1,81,26.2,119.4,256,264.9,0.454442251,0,0,0,0,0,0.325006614,1715.13,1.339972785,3.173320975,47.50874967,20.77128922,1.806022598,0,0,10.16625531,6.141696481,1.989097093,9.051428273,19.41541864,20.0850647
TheLoch,16.25-16.50,16.5,1127.9905,LVDC3_066A,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,16.50-16.75,16.75,1114.47975,LVDC3_067A,50.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,16.75-17.00,17,1100.969,LVDC3_068A,51.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,17.00-17.25,17.25,1087.45825,LVDC3_069A,50.96,5,3.85,-23.21,23.86,331.48,0.48,6.63,16.21,6.7,0,0,0,0,0,5.3,1668.7,16.4,42.3,699.1,292,25,0,0,152.2,85.2,31.9,237.5,274.4,306,0.442937824,0,0,0,0,0,0.353706178,1668.69,1.089203886,2.803211518,46.34908693,19.36093914,1.660680603,0,0,10.09090219,5.6510598,2.11804274,15.74519026,18.19453528,20.28782139
TheLoch,17.25-17.50,17.5,1073.9475,LVDC3_070A,55.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,17.50-17.75,17.75,1060.43675,LVDC3_071A,52.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,17.75-18.00,18,1046.926,LVDC3_072A,54.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,18.00-18.25,18.25,1033.41525,LVDC3_073A,51.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,18.25-18.50,18.5,1019.9045,LVDC3_074A,52.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,18.50-18.75,18.75,1006.39375,LVDC3_075A,55.65,4.34,3.92,-23.14,22.02,315.18,0.51,7.26,16.7,2.3,0,0,0,0,0,3.6,1629.4,11.8,45.6,723.4,304.5,27.6,0,0,172,86.8,36.9,251.6,352.2,305.9,0.165020902,0,0,0,0,0,0.259117582,1629.4,0.860437179,3.311758884,52.53190579,22.1112724,2.00469748,0,0,12.49247676,6.306284542,2.67900048,18.27469405,25.57538273,22.21598724
TheLoch,18.75-19.00,19,992.883,LVDC3_076A,55.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,19.00-19.25,19.25,979.37225,LVDC3_077A,50.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,19.25-19.50,19.5,965.8615,LVDC3_078A,56.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,19.50-19.75,19.75,952.35075,LVDC3_079A,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,19.75-20.00,20,938.84,LVDC3_080A,50.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheLoch,20.00-20.25,20.25,925.32925,LVDC3_081A,57.25,5.02,4.15,-23.38,24.31,346.72,0.48,6.91,16.64,1.2,0,0,0,0,0,3.6,1569.4,11.2,33.1,582.9,255.4,15.2,0,0,136.6,64.5,31.9,196.7,250.6,81.8,0.082514899,0,0,0,0,0,0.251875868,1569.36,0.774253485,2.28901922,40.25611931,17.63705351,1.046455572,0,0,9.431540384,4.453167867,2.205471885,13.58557122,17.30841948,5.648929626
