SITE,TYPE,YEAR,MONTH,DAY,DATE,TEMP,FLDCOND,LABCOND,FLDPH,LABPH,ANC,CA,MG,NA,K,NH4,NH4_NREL,SO4,NO3,NO3_NREL,PO4,CL,F,SiO2,AL,FE,MN,LAB,DOC,TDN,NH4 calc,NO3 calc,TIN,TDN calc,DON,PO4_NREL,PO4_NREL calc,TP_NREL,TP_NREL calc,DOP,TP_HSWL,CHL_A
ANDREWS.CRK,NORMAL,1985,6,19,6/19/85,2,12,10.4,6.4,,22.2,1.2,0.18,0.44,0.16,0.02,,1.3,1.51,,<0.003,0.11,0.06,1.9,27,<10,1,USGS,,,0.02,1.51,0.356361664,,,,,,,,,
ANDREWS.CRK,NORMAL,1985,6,27,6/27/85,1,10,10.5,6.2,,23.6,1.1,0.16,0.38,0.13,<0.01,,1.3,1.46,,0.01,0.12,0.05,1.9,27,<10,1,USGS,,,0.005,1.46,0.333447075,,,,,,,,,
ANDREWS.CRK,NORMAL,1985,7,23,7/23/85,3,7,8.1,6.4,,23.4,0.9,0.1,0.4,0.14,0.01,,0.97,1.02,,0.01,0.08,0.04,1.7,21,10,1,USGS,,,0.01,1.02,0.238000245,,,,,,,,,
ANDREWS.CRK,NORMAL,1985,8,20,8/20/85,5,11,8.4,6.5,,25.8,0.9,0.13,0.39,0.1,<0.01,,1,0.98,,0.01,0.07,0.06,1.8,19,<10,1,USGS,,,0.005,0.98,0.225094931,,,,,,,,,
ANDREWS.CRK,NORMAL,1985,9,17,9/17/85,,12,10.4,6.4,,31.2,1.1,0.17,0.41,0.14,<0.01,,1.3,1.46,,<0.003,0.09,0.07,2.1,6,<10,1,USGS,,,0.005,1.46,0.333447075,,,,,,,,,
ANDREWS.CRK,NORMAL,1986,6,12,6/12/86,2,12,12.6,6.3,,31,1.4,0.2,0.4,0.22,0.01,,1.5,1.73,,0.01,0.13,0.04,2.2,49,17,1,USGS,2,,0.01,1.73,0.398271125,,,,,,,,,
ANDREWS.CRK,NORMAL,1986,6,25,6/25/86,2,10,9.8,6.4,,23.2,1,0.2,0.3,0.16,0.01,,1.2,1.33,,0.01,0.09,0.04,1.8,33,13,1,USGS,1.1,,0.01,1.33,0.307977672,,,,,,,,,
ANDREWS.CRK,NORMAL,1986,7,30,7/30/86,5,7,7.6,6.4,,25.2,0.8,0.1,0.3,0.11,0.01,,0.83,0.75,,0.01,0.07,0.05,1.6,14,<10,1,USGS,0.8,,0.01,0.75,0.177052164,,,,,,,,,
ANDREWS.CRK,NORMAL,1986,9,9,9/9/86,4,9,9.1,6.3,,30,0.9,0.1,0.4,0.18,0.01,,1.1,1.11,,0.02,0.09,6,1.9,19,10,2,USGS,0.6,,0.01,1.11,0.258316272,,,,,,,,,
ANDREWS.CRK,NORMAL,1987,5,19,5/19/87,,11.7,12.5,6.4,6.7,31,1.3,0.21,0.42,0.21,0.03,,1.7,1.73,,0.01,0.13,0.05,2.2,40,15,1,USGS,1.8,,0.03,1.73,0.413775001,,,,,,,,,
ANDREWS.CRK,NORMAL,1987,6,16,6/16/87,4,9.3,10,6.4,6.6,27.4,0.99,0.16,0.35,0.15,0.01,,1.2,1.37,,0.01,0.11,0.06,1.7,21,13,1,USGS,1.9,,0.01,1.37,0.317007017,,,,,,,,,
ANDREWS.CRK,NORMAL,1987,7,21,7/21/87,,7.9,8.3,6.6,6.6,32.2,0.82,0.13,0.32,0.15,0.01,,0.95,0.98,,0.01,0.07,0.04,1.5,11,<10,1,USGS,1.5,,0.01,0.98,0.2289709,,,,,,,,,
ANDREWS.CRK,NORMAL,1987,7,28,7/28/87,,5,5.3,6.3,6.4,30.8,0.57,0.09,0.52,0.11,0.04,,0.5,0.49,,<0.003,0.08,0.03,1.1,20,<10,1,USGS,2.1,,0.04,0.49,0.141617233,,,,,,,,,
ANDREWS.CRK,NORMAL,1987,8,26,8/26/87,4,8.5,8.9,6.5,6.8,32.6,0.86,0.13,0.38,0.13,0.03,,1,0.98,,<0.003,0.08,0.06,1.9,14,10,1,USGS,0.9,,0.03,0.98,0.244474776,,,,,,,,,
ANDREWS.CRK,DUPE,1987,8,26,8/26/87,4,8.5,8.8,6.5,6.7,31.8,0.87,0.13,0.4,0.14,0.02,,1,0.98,,<0.003,0.08,0.06,1.9,16,<10,1,USGS,0.9,,0.02,0.98,0.236722838,,,,,,,,,
ANDREWS.CRK,NORMAL,1987,9,24,9/24/87,1,10.9,12,6.4,6.6,37.8,1.1,0.18,0.5,0.15,<0.01,,1.5,1.29,,0.01,0.09,0.07,2.5,5,<10,1,USGS,0.8,,0.005,1.29,0.295072357,,,,,,,,,
ANDREWS.CRK,DUPE,1987,9,24,9/24/87,1,10.9,11.6,6.5,6.6,36.2,1.1,0.18,0.48,0.17,0.02,,1.5,1.29,,,0.11,0.06,2.5,8,<10,1,USGS,1.1,,0.02,1.29,0.306700264,,,,,,,,,
ANDREWS.CRK,NORMAL,1988,6,21,6/21/88,3,10.5,9.3,6,6.4,26.2,0.96,0.15,0.34,0.13,0.01,,1.2,1.15,,<0.003,0.11,0.05,1.6,22,12,1,USGS,2.6,,0.01,1.15,0.267345617,,,,,,,,,
ANDREWS.CRK,DUPE,1988,6,21,6/21/88,3,11.5,9.6,6,6.4,25.4,0.97,0.14,0.36,0.13,,,1.13,1.2,,,1.38,0.04,1.7,28,15,1,USGS,1.8,,,1.2,,,,,,,,,,
ANDREWS.CRK,NORMAL,1988,7,20,7/20/88,9,6.6,8.7,,6.6,30.8,0.85,0.12,0.35,0.1,<0.01,,1.1,0.93,,<0.003,0.06,0.06,1.7,18,15,1,USGS,0.9,,0.005,0.93,0.213808249,,,,,,,,,
