lake_ID,sample_number,sample_ID,sample_start_depth,depth_plot,depth_range,percC,sample,percN,CN,del13C,del15N,chlide_a,chl_c1,chl_c2,perid,fuco,sed_A,sed_B,sed_C,oscil,aphan,viola,diadino,sudan,myxo,allo,diato,lutein,zea,cantha,chl_b ,okenone,chl_a ,chl_ap,echine,isoren,phaeo_b,pheo_a,a_car,b_car,car_x,car_y,car_z
SkyPond,27,SPDC_027,5.2,5.4,5.2-5.4,3.12,SPC 1 27,0.34,10.64,-25.6,4.4,0,0,0,0,120.8546459,0,0,0,0,0,0,29.61094525,1456.268823,0,51.48896129,303.5182465,226.0397156,0,1.169036356,17.14798082,0,306.5830797,136.0855733,25.12773832,0,259.0101023,211.7571595,0,88.0041914,0,0,0
SkyPond,28,SPDC_028,5.4,5.6,5.4-5.6,3.27,SPC 1 28,0.36,10.73,-26.1,3.9,0,0,0,0,109.7665147,0,0,8.928984591,0,0,0,30.20285103,1588.065325,0,71.26883336,321.3492207,215.8810258,0,2.18688966,37.68036376,0,329.7029033,142.3416565,25.64883024,0,306.0952419,490.0469625,0,87.40309881,0,0,0
SkyPond,29,SPDC_029,5.6,5.8,5.6-5.8,3.32,SPC 1 29,0.37,10.58,-25.9,3.6,0,0,0,0,122.4455396,0,0,9.200376483,0,0,0,27.155405,1527.569382,0,50.37562563,317.6606514,230.6431436,0,1.022051164,22.37927269,0,338.7285523,161.3344255,26.2327203,0,327.5706793,685.5513071,0,143.1447538,0,0,0
SkyPond,30,SPDC_030,5.8,6,5.8-6,3.30,SPC 1 30,0.35,11.12,-26.0,3.4,0,0,0,0,129.2262277,0,0,11.17387425,0,0,0,27.75888852,1606.419382,0,60.39199983,359.2266187,217.6048247,0,2.980448967,20.1372164,0,349.9551801,169.8878294,38.50263196,0,299.0707652,527.8209849,0,145.3169071,0,0,0
SkyPond,32,SPDC_032,6.2,6.4,6.2-6.4,3.25,SPC 1 32,0.30,10.46,-26.0,5.1,0,0,0,0,99.41077949,34.63078746,115.1041251,24.61288173,0,0,0,28.80926089,1458.283402,0,73.28004639,480.0804351,203.4651279,0,1.135814691,11.22112978,0,393.5854117,167.9341789,18.82766916,0,243.611231,700.2515694,0,83.10216743,0,0,0
SkyPond,34,SPDC_034,6.6,6.8,6.6-6.8,3.16,SPC 1 34,0.37,10.05,-25.6,4.6,0,0,0,0,81.8010158,9.88900169,37.28066873,0.712834139,0,0,0,11.25277954,1565.30676,0,45.38820954,368.1457239,149.7367342,0,3.315692203,21.86280062,0,460.2763842,232.2639564,31.26005895,0,341.3557122,814.0155307,0,145.2212346,0,0,0
SkyPond,36,SPDC_036,7,7.2,7-7.2,3.21,SPC 1 36,0.29,9.83,-25.9,6.8,0,0,0,0,90.00989428,0,7.715805724,0,0,0,0,29.42035807,1487.380278,0,54.85528393,412.6276518,248.0419751,0,1.137216713,22.39848084,0,470.3979555,179.4787041,28.04714612,0,289.2362759,703.8377938,0,131.7993051,0,0,0
SkyPond,38,SPDC_038,7.4,7.6,7.4-7.6,3.38,SPC 1 38,0.37,10.54,-25.9,4.2,0,0,0,0,76.01749214,0,0,0,0,0,0,10.70604916,1594.38308,0,50.99257645,335.5432913,197.6898014,0,0.995626239,14.94673662,0,395.6782554,153.2945365,22.22897822,0,252.6851597,578.1185925,0,155.690839,0,0,0
SkyPond,40,SPDC_040,7.8,8,7.8-8,3.28,SPC 1 40,0.29,10.10,-25.7,6.5,0,0,0,0,72.59313288,0,0,0,0,0,0,10.52222222,1571.967138,0,64.36913468,340.6963797,179.3920722,0,2.977453848,6.960009617,0,369.9197792,160.1827371,17.99280015,0,298.0644659,639.7907511,0,134.7553806,0,0,0
SkyPond,42,SPDC_042,8.2,8.4,8.2-8.4,3.35,SPC 1 42,0.40,9.77,-25.8,5.6,0,0,0,0,83.71834808,0,0,0,0,0,0,9.362314855,1514.114357,0,106.8613735,415.9433975,154.1143395,0,0.916820556,15.81061249,0,287.280334,144.0459943,17.07238284,0,381.2985911,643.9991854,0,122.6345726,0,0,0
SkyPond,44,SPDC_044,8.6,8.8,8.6-8.8,3.85,SPC 1 44,0.38,9.81,-25.7,4.9,0,0,0,0,62.31159243,0,0,0,0,0,0,4.999988327,1602.846016,0,58.67975189,187.0542501,185.9816039,0,0.934493059,18.38966561,0,188.5179054,149.6681665,16.99714828,0,374.4087644,569.5765695,0,107.2970438,0,0,0
SkyPond,46,SPDC_046,9,9.2,9-9.2,3.94,SPC 1 46,0.50,9.16,-25.8,4.0,0,0,0,0,60.58879459,0,0,2.996807951,0,0,0,4.888464048,1663.680378,0,54.64455504,163.7207941,182.4196279,0,0.440120327,2.308502906,0,154.4773795,136.2517409,18.28087518,0,362.7469475,535.6991175,0,129.5947385,0,0,0
SkyPond,48,SPDC_048,9.4,9.6,9.4-9.6,4.80,SPC 1 48,0.54,10.32,-25.4,3.9,0,0,0,0,52.51808185,0,0,2.853535946,0,0,0,0,1640.69043,0,56.78951866,155.3537747,165.7859737,0,0.364729546,0,0,137.3064943,122.8095181,28.4557878,0,388.5697953,465.6975422,0,67.19181778,0,0,0
